date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:00	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-1cf506c1.9ab3a5ef.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-1cf506c1.9ab3a5ef.html	(from http://120.26.82.151:8082/)
13:57:00	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-1e1da183.344e94c9.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-1e1da183.344e94c9.html	(from http://120.26.82.151:8082/)
13:57:00	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-1e319453.2c334cb0.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-1e319453.2c334cb0.html	(from http://120.26.82.151:8082/)
13:57:00	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2bca2e41.bd0cb88b.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2bca2e41.bd0cb88b.html	(from http://120.26.82.151:8082/)
13:57:01	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0aab24.6b5d6271.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0aab24.6b5d6271.html	(from http://120.26.82.151:8082/)
13:57:01	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0ab081.a570a041.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0ab081.a570a041.html	(from http://120.26.82.151:8082/)
13:57:01	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0b21d1.b68ce496.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0b21d1.b68ce496.html	(from http://120.26.82.151:8082/)
13:57:01	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0b3a77.d91451ba.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0b3a77.d91451ba.html	(from http://120.26.82.151:8082/)
13:57:01	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0b3d72.a11afcb9.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0b3d72.a11afcb9.html	(from http://120.26.82.151:8082/)
13:57:02	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0b91cb.fbb64e05.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0b91cb.fbb64e05.html	(from http://120.26.82.151:8082/)
13:57:02	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0ba717.ddec60d2.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0ba717.ddec60d2.html	(from http://120.26.82.151:8082/)
13:57:02	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0baaf8.a35c584b.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0baaf8.a35c584b.html	(from http://120.26.82.151:8082/)
13:57:02	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0bb297.ae0f5ec6.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0bb297.ae0f5ec6.html	(from http://120.26.82.151:8082/)
